Word,Translation/Explanation,Example Sentence
state,狀態；陳述 (n./v.),Please state your name.
sense,感覺；意義 (n.),That doesn't make sense.
turn,轉；輪到 (v./n.),Turn right at the corner.
would,將會；願意 (aux.v.),Would you like some tea?
appear,出現；似乎 (v.),She will appear on TV tonight.
act,行動；表演 (v./n.),Act before it's too late.
break,休息；打破 (v./n.),Let's take a short break.
course,課程；當然 (n.),"Of course, I'll help you."
court,法庭；球場 (n.),The case went to court.
discuss,討論；商量 (v.),Let's discuss this in the meeting.
effect,效果；影響 (n.),The new policy has had a good effect.
form,表格；形式 (n./v.),Please fill out this form.
hold,抓住；舉行 (v.),Hold on a second.
insect,昆蟲 (n.),Bees are very important insects.
mean,意思；刻薄 (v./adj.),What does this word mean?
once,一次；曾經 (adv.),Once in a lifetime opportunity.
purpose,目的；用途 (n.),What is the purpose of this meeting?
ride,騎；乘坐 (v./n.),Let's ride our bikes to school.
really,真的；實際上 (adv.),Are you really sure?
success,成功；成就 (n.),Hard work leads to success.
situation,情況；狀況 (n.),The situation is getting better.
though,雖然；即使 (conj.),"Though it was hard, she never gave up."
upon,在…上面；基於 (prep.),Once upon a time...
war,戰爭；衝突 (n.),No one wins in a war.
afternoon,下午；午後 (n.),She takes a nap every afternoon.
busy,忙碌的；繁忙 (adj.),I've been very busy lately.
coffee,咖啡；咖啡色 (n.),She needs coffee to wake up.
choice,選擇；選項 (n.),It's your choice.
detail,細節；詳情 (n.),Please pay attention to detail.
especially,尤其；特別是 (adv.),"I love autumn, especially October."
finish,完成；結束 (v.),Finish what you started.
ground,地面；土地 (n.),Sit on the ground.
holiday,假日；假期 (n.),Are you going anywhere for the holiday?
kitchen,廚房 (n.),She spends a lot of time in the kitchen.
lesson,課；課程；教訓 (n.),Every failure is a lesson.
music,音樂 (n.),Music makes everything better.
orange,柳橙；橘色 (n./adj.),She drinks orange juice every morning.
perfect,完美的；完善 (adj.),Practice makes perfect.
request,請求；要求 (n./v.),I have a small request.
season,季節；當季 (n.),Spring is my favourite season.
sick,生病的；噁心 (adj.),She called in sick today.
tomorrow,明天；明日 (n./adv.),See you tomorrow.
welcome,歡迎；受歡迎 (v./adj.),Welcome to our team!
yesterday,昨天；昨日 (n./adv.),It rained a lot yesterday.
agree,同意；贊成 (v.),I completely agree with you.
bridge,橋；橋樑 (n.),The bridge connects two districts.
cake,蛋糕 (n.),She baked a birthday cake.
customer,顧客；客戶 (n.),The customer is always right.
date,日期；約會 (n./v.),What's the date today?
enter,進入；輸入 (v.),Enter your password here.
future,未來；將來 (n./adj.),Plan for the future.
gentleman,紳士；先生 (n.),He is a true gentleman.
hair,頭髮；毛髮 (n.),She cut her hair short.
image,圖像；形象 (n.),The brand image is very strong.
language,語言；語言能力 (n.),Learning a new language is rewarding.
market,市場；市集 (n.),She went to the night market.
private,私人的；私密 (adj.),This is a private conversation.
plane,飛機；平面 (n.),The plane takes off at noon.
restaurant,餐廳；飯館 (n.),Let's try that new restaurant.
sky,天空 (n.),The sky is full of stars tonight.
smart,聰明的；整潔 (adj.),She's very smart and hardworking.
size,尺寸；大小 (n.),What size do you wear?
thank,感謝；道謝 (v.),I'd like to thank everyone here.
weather,天氣；氣候 (n.),The weather is lovely today.
actor,演員；主角 (n.),He is a very talented actor.
bottle,瓶子；一瓶 (n.),She drank a whole bottle of water.
coat,外套；大衣 (n.),Wear a coat — it's cold outside.
cloth,布料；布 (n.),The cloth is soft and smooth.
destroy,破壞；摧毀 (v.),Don't destroy what others have built.
everywhere,到處；各地 (adv.),Plastic is everywhere.
finger,手指 (n.),She pointed her finger at the map.
guide,指南；導遊 (n./v.),She worked as a tour guide.
improve,改善；進步 (v.),I want to improve my English.
knife,刀子；刀 (n.),Use a knife to cut the bread.
large,大的；廣大 (adj.),She has a large collection of books.
mistake,錯誤；失誤 (n.),Everyone makes mistakes.
ocean,海洋；大洋 (n.),The Pacific is the largest ocean.
plant,植物；工廠 (n.),She waters her plants every day.
repeat,重複；再做 (v.),Could you repeat that please?
salt,鹽；食鹽 (n.),Don't add too much salt.
special,特別的；特殊 (adj.),Today is a special day.
teach,教導；教學 (v.),She loves to teach children.
uncle,叔叔；伯伯 (n.),My uncle lives in the US.
winter,冬天；冬季 (n.),Winters in Taipei are mild.
angry,生氣的；憤怒 (adj.),She was angry about the mistake.
article,文章；條款 (n.),She published an article last week.
build,建造；建立 (v.),We need to build trust first.
cheap,便宜的；廉價 (adj.),That café is cheap but good.
dirty,骯髒的；不乾淨 (adj.),Wash your hands — they're dirty.
except,除了；排除 (prep./conj.),I eat everything except seafood.
famous,著名的；有名 (adj.),She became famous overnight.
gas,氣體；汽油 (n.),She needs to fill up the gas.
hotel,飯店；旅館 (n.),They stayed at a five-star hotel.
interview,面試；採訪 (n./v.),She has a job interview tomorrow.
moon,月亮；月球 (n.),The moon is full tonight.
nice,好的；令人愉快 (adj.),It was nice meeting you.
prepare,準備；預備 (v.),Prepare the report by Friday.
prison,監獄；牢房 (n.),He was sentenced to prison.
rice,米；飯 (n.),She eats rice every day.
seem,似乎；好像 (v.),You seem tired today.
strange,奇怪的；陌生 (adj.),That's a strange coincidence.
skirt,裙子；裙 (n.),She wore a floral skirt.
train,訓練；火車 (n./v.),She takes the train to work.
warm,溫暖的；暖 (adj.),The weather is warm today.
account,帳戶；說明 (n./v.),She opened a new bank account.
bird,鳥；鳥類 (n.),Early bird catches the worm.
comfortable,舒適的；自在 (adj.),Make yourself comfortable.
cloud,雲；雲端 (n.),Dark clouds filled the sky.
dust,灰塵；塵埃 (n.),The shelf is covered in dust.
damage,損壞；傷害 (n./v.),The storm caused a lot of damage.
exercise,運動；練習 (n./v.),Exercise every day for better health.
favourite,最喜愛的；最愛 (adj./n.),What's your favourite food?
hospital,醫院 (n.),She was admitted to the hospital.
joke,笑話；開玩笑 (n./v.),He told a funny joke.
message,訊息；留言 (n.),She left a message for you.
night,夜晚；晚上 (n.),"Good night, sleep well."
paint,油漆；畫畫 (v./n.),She painted the walls white.
pleasure,愉悅；樂趣 (n.),It was a pleasure meeting you.
relationship,關係；關聯 (n.),Communication is key in any relationship.
spend,花費；度過 (v.),How do you spend your weekends?
serious,嚴肅的；嚴重 (adj.),This is a serious matter.
science,科學；理科 (n.),She has a degree in science.
tired,疲倦的；累 (adj.),I'm so tired after the trip.
wrong,錯誤的；不對 (adj.),Something feels wrong.
amount,數量；金額 (n.),A large amount of work remains.
brown,棕色；褐色 (adj./n.),She has brown eyes.
bank,銀行；河岸 (n.),She works at a bank.
chocolate,巧克力 (n.),She loves dark chocolate.
crowd,人群；擁擠 (n./v.),A large crowd gathered.
deal,交易；處理 (n./v.),Let's make a deal.
engine,引擎；發動機 (n.),The car engine is very quiet.
follow,跟隨；遵循 (v.),Follow the instructions carefully.
individual,個人；個別 (n./adj.),Each individual has unique strengths.
left,左邊；離開（過去式）(adj./v.),Turn left at the traffic light.
meal,一餐；飯食 (n.),She prepares three meals a day.
oil,油；石油 (n.),Use olive oil for cooking.
probably,可能；大概 (adv.),She'll probably arrive by noon.
pain,疼痛；痛苦 (n.),"No pain, no gain."
replace,取代；替換 (v.),We need to replace this old laptop.
square,廣場；正方形 (n./adj.),Meet me at the main square.
step,步驟；踏步 (n./v.),One step at a time.
society,社會；社群 (n.),We all have a role in society.
temperature,溫度；體溫 (n.),The temperature dropped overnight.
university,大學；高校 (n.),She teaches at a top university.
accept,接受；承認 (v.),I accept your apology.
advance,前進；進步 (v./n.),She made a big advance in her career.
bag,包；袋子 (n.),Don't forget your bag.
centre,中心；中央 (n.),The shopping centre opens at 10.
captain,船長；隊長 (n.),She was team captain for two years.
demand,需求；要求 (n./v.),Supply must meet demand.
enemy,敵人；對手 (n.),Your biggest enemy is self-doubt.
factory,工廠；製造廠 (n.),The factory produces 500 units daily.
hungry,饑餓的；渴望 (adj.),I'm hungry — let's eat.
illegal,非法的；違法 (adj.),It's illegal to park here.
law,法律；法則 (n.),Everyone must follow the law.
nose,鼻子 (n.),She has a perfect sense of smell in her nose.
proud,驕傲的；自豪 (adj.),I'm proud of what you've done.
petrol,汽油；燃油 (n.),The petrol price went up again.
responsible,負責任的；可靠 (adj.),Be responsible for your actions.
successful,成功的；有成就 (adj.),She built a very successful career.
swim,游泳 (v.),She swims 30 laps every morning.
store,商店；儲存 (n./v.),Store the files in the cloud.
top,頂部；最高 (n./adj.),She graduated at the top of her class.
win,贏；勝利 (v.),We worked hard to win.
available,可用的；有空 (adj.),Are you available on Friday?
boat,船；小艇 (n.),They took a boat to the island.
borrow,借用；借入 (v.),Can I borrow your charger?
coast,海岸；海邊 (n.),The coast is beautiful in summer.
cream,奶油；乳霜 (n.),Add cream to the sauce.
design,設計；計劃 (n./v.),She has a great eye for design.
expression,表達；表情 (n.),Her expression said everything.
farm,農場；農業 (n.),She grew up on a farm.
history,歷史；歷程 (n.),She studied history at university.
injure,傷害；受傷 (v.),He injured his ankle during the game.
map,地圖；規劃 (n./v.),She studied the map before the trip.
obtain,獲得；取得 (v.),You must obtain permission first.
peaceful,和平的；寧靜 (adj.),The countryside is so peaceful.
practise,練習；實踐 (v.),Practise speaking English every day.
recently,最近；近來 (adv.),Have you seen him recently?
shape,形狀；塑造 (n./v.),This experience will shape your future.
silver,銀色；銀 (n./adj.),She wore a silver bracelet.
smoke,煙；抽煙 (n./v.),No smoking inside the building.
touch,觸碰；感動 (v./n.),Her story really touched me.
wash,洗；清洗 (v.),Wash your hands before eating.
attack,攻擊；進攻 (v./n.),She launched a verbal attack.
advantage,優勢；好處 (n.),Take advantage of this opportunity.
butter,奶油；黃油 (n.),She spread butter on the toast.
college,大學；學院 (n.),She graduated from college last year.
club,俱樂部；夜店 (n.),She joined a book club.
degree,學位；程度 (n.),She has a master's degree.
escape,逃跑；逃脫 (v./n.),Reading is her escape from stress.
gate,大門；閘門 (n.),Please proceed to gate 7.
independent,獨立的；自主 (adj.),She is very independent.
listen,聆聽；聽 (v.),Listen carefully before responding.
marry,結婚；嫁娶 (v.),They plan to marry next spring.
object,物體；反對 (n./v.),What is the object of this exercise?
path,路徑；道路 (n.),She chose a different path in life.
quiet,安靜的；寧靜 (adj.),Please be quiet in the library.
refuse,拒絕；不接受 (v.),She refused to give up.
subject,科目；主題 (n.),What's your favourite subject?
supply,供應；提供 (v./n.),We need to supply more resources.
taste,味道；品味 (n./v.),This dish has an amazing taste.
usually,通常；一般來說 (adv.),She usually arrives early.
vegetable,蔬菜；青菜 (n.),Eat more vegetables for better health.
arrange,安排；整理 (v.),Can you arrange a meeting?
below,在…下方；低於 (prep./adv.),The answer is below the line.
cigarette,香煙；菸 (n.),He gave up cigarettes last year.
cottage,小屋；農舍 (n.),She rents a cottage by the sea.
department,部門；科系 (n.),She manages the design department.
earn,賺取；獲得 (v.),She earns a good salary.
front,前面；正面 (n./adj.),Please sit at the front.
gentle,溫柔的；和善 (adj.),She has a gentle personality.
hat,帽子 (n.),She wore a wide-brimmed hat.
instrument,樂器；儀器 (n.),She plays three instruments.
machine,機器；機械 (n.),The machine broke down.
newspaper,報紙；日報 (n.),He reads the newspaper every morning.
parcel,包裹；小包 (n.),The parcel arrived this morning.
repair,修理；修復 (v./n.),She needs to repair her bicycle.
religion,宗教；信仰 (n.),She respects all religions.
serve,服務；供應 (v.),She served the community for years.
shoulder,肩膀；承擔 (n./v.),She carries a lot on her shoulders.
trip,旅行；跌倒 (n./v.),We're planning a trip to Japan.
village,村莊；村子 (n.),Life in the village is peaceful.
wall,牆；牆壁 (n.),Hang the painting on that wall.
arrive,到達；抵達 (v.),What time will you arrive?
born,出生；天生 (adj./v.),She was born in Taipei.
correct,正確的；糾正 (adj./v.),Your answer is correct.
clothes,衣服；服裝 (n.),She always wears stylish clothes.
double,雙倍；加倍 (adj./v.),Double-check your work.
English,英語；英文 (n./adj.),She speaks English fluently.
forget,忘記；忘掉 (v.),Don't forget to send the email.
goal,目標；進球 (n.),Set a clear goal for yourself.
hate,討厭；憎恨 (v.),I hate being late.
kill,殺死；消滅 (v.),Stress can kill your motivation.
last,最後的；持續 (adj./v.),Good things don't last forever.
main,主要的；主 (adj.),What's the main point?
promise,承諾；保證 (v./n.),Keep your promise.
pair,一對；一雙 (n.),She bought a new pair of earrings.
regular,定期的；規律 (adj.),Regular exercise improves health.
somewhere,某處；某地 (adv.),Let's go somewhere new.
space,空間；太空 (n.),The office has a lot of open space.
these,這些 (pron./adj.),These are my favourite shoes.
useful,有用的；實用 (adj.),That's a very useful app.
without,沒有；不 (prep.),I can't work without music.
animal,動物；野獸 (n.),She loves all animals.
beer,啤酒；麥酒 (n.),He ordered a cold beer.
calm,冷靜的；平靜 (adj./v.),Stay calm under pressure.
copy,副本；複製 (n./v.),Send me a copy of the report.
dish,菜餚；碗盤 (n.),This dish is a local specialty.
express,表達；快速的 (v./adj.),Express yourself clearly.
foreign,外國的；陌生 (adj.),She speaks two foreign languages.
guess,猜測；猜 (v./n.),Guess what happened today!
husband,丈夫；先生 (n.),Her husband is very supportive.
lie,說謊；躺 (v.),Never lie to people you trust.
mine,我的；礦山 (pron./n.),That seat is mine.
opinion,意見；看法 (n.),"In my opinion, this is the best choice."
passenger,乘客；旅客 (n.),All passengers must board now.
press,按；媒體 (v./n.),Press the button to confirm.
rule,規則；統治 (n./v.),Follow the golden rule.
sign,標誌；簽名 (n./v.),"Sign here, please."
support,支持；支撐 (v./n.),I always support your decisions.
those,那些 (pron./adj.),Those are great ideas.
year,年；一年 (n.),She worked hard all year.
wonderful,美妙的；精彩 (adj.),What a wonderful experience!
afraid,害怕的；擔心 (adj.),Don't be afraid to ask for help.
board,木板；董事會 (n.),She joined the board of directors.
circle,圓圈；圈子 (n.),Stand in a circle.
count,計數；重要 (v.),Every vote counts.
death,死亡；死 (n.),Life and death are both natural.
discover,發現；探索 (v.),She discovered a passion for design.
funny,有趣的；奇怪 (adj.),He told a really funny story.
guest,客人；嘉賓 (n.),We have a special guest today.
horse,馬；馬匹 (n.),She rides horses on weekends.
lake,湖泊；湖 (n.),The lake is beautiful in autumn.
modern,現代的；當代 (adj.),She prefers modern design.
necessary,必要的；必須 (adj.),Is this meeting really necessary?
profit,利潤；獲利 (n./v.),The company made a huge profit.
plenty,大量；足夠 (n./adj.),There's plenty of time.
reduce,減少；降低 (v.),We need to reduce waste.
share,分享；分配 (v./n.),Share your ideas with the team.
steal,偷竊；盜取 (v.),Don't steal others' ideas.
trust,信任；信賴 (v./n.),Trust takes time to build.
young,年輕的；年少 (adj.),She has a young and energetic team.
wish,希望；祝願 (v./n.),I wish you all the best.
allow,允許；讓 (v.),Allow me to explain.
admire,欽佩；讚賞 (v.),I really admire her dedication.
battle,戰役；鬥爭 (n./v.),Every day is a new battle.
climb,攀爬；上升 (v.),She climbed to the top of the mountain.
complete,完成；完整 (v./adj.),Complete the form before submitting.
divide,分割；劃分 (v.),Divide the work among the team.
effort,努力；付出 (n.),Put more effort into your work.
fresh,新鮮的；清新 (adj.),Start fresh every morning.
hole,洞；缺口 (n.),There's a hole in my sock.
indeed,確實；的確 (adv.),That is indeed a good point.
marriage,婚姻；結婚 (n.),Marriage requires effort and patience.
outside,外面；戶外 (prep./adv.),Let's eat outside today.
pleasant,令人愉快；舒適 (adj.),She has a pleasant personality.
point,重點；指出 (n./v.),What's your main point?
recent,最近的；近期 (adj.),Any recent updates?
secretary,秘書；書記 (n.),His secretary manages his schedule.
sing,唱歌；演唱 (v.),She sings beautifully.
third,第三；三分之一 (adj./n.),She finished in third place.
soft,柔軟的；溫和 (adj.),She spoke in a soft voice.
various,各種的；不同 (adj.),She has various interests.
adventure,冒險；探險 (n.),Life is a great adventure.
although,雖然；儘管 (conj.),"Although it was late, she kept working."
bottom,底部；底端 (n.),Scroll to the bottom of the page.
comfort,舒適；安慰 (n./v.),She found comfort in music.
coin,硬幣；錢幣 (n.),She flipped a coin to decide.
drop,滴；降落；放棄 (n./v.),Drop the idea — it won't work.
equal,相等的；平等 (adj.),Everyone deserves equal treatment.
gun,槍；手槍 (n.),The gun control debate continues.
join,加入；連接 (v.),Would you like to join us?
intelligent,聰明的；有智慧 (adj.),She is an intelligent and creative thinker.
laugh,笑；歡笑 (v./n.),Laughter is the best medicine.
middle,中間；中部 (n./adj.),She sat in the middle of the room.
perform,表演；執行 (v.),She performed brilliantly on stage.
plain,清楚的；樸素 (adj.),"In plain English, what do you mean?"
row,一排；劃船；爭吵 (n./v.),Sit in the front row.
surface,表面；水面 (n.),The surface was smooth and clean.
soldier,士兵；軍人 (n.),She served as a soldier for 5 years.
thick,厚的；濃的 (adj.),The book is very thick.
until,直到；一直 (prep./conj.),Wait until I give the signal.
wild,野生的；瘋狂 (adj.),She had a wild imagination.
attempt,嘗試；企圖 (v./n.),She made one final attempt.
breathe,呼吸 (v.),"Breathe in slowly, then breathe out."
bill,帳單；鈔票 (n.),Can we split the bill?
character,性格；角色 (n.),Her character is what I admire most.
cook,烹飪；廚師 (v./n.),He cooks amazing Italian food.
defend,防衛；為…辯護 (v.),She defended her position brilliantly.
fat,脂肪；胖的 (n./adj.),Healthy fats are good for you.
grey,灰色；灰的 (adj./n.),She has striking grey eyes.
hot,熱的；辣的 (adj.),It's hot today — drink more water.
import,進口；輸入 (v./n.),They import coffee from Ethiopia.
lose,失去；輸 (v.),Don't lose focus now.
mountain,山；山脈 (n.),She hiked up the mountain at dawn.
operation,手術；操作 (n.),The operation was a success.
prize,獎品；獎勵 (n.),She won first prize.
risk,風險；冒險 (n./v.),"No risk, no reward."
suddenly,突然；忽然 (adv.),She suddenly changed her mind.
safe,安全的；保險箱 (adj./n.),Keep your password safe.
type,類型；打字 (n./v.),What type of music do you like?
suit,西裝；適合 (n./v.),She wore a sharp business suit.
wood,木頭；木材 (n.),The table is made of solid wood.
asleep,睡著的；入睡 (adj.),The baby fell asleep quickly.
area,區域；面積 (n.),This is a high-demand area.
bath,浴缸；洗澡 (n.),She takes a long bath to relax.
careless,粗心的；不小心 (adj.),Don't be careless with client details.
chain,鏈條；連鎖 (n.),She wore a gold chain.
delay,延誤；延遲 (n./v.),Sorry for the delay in replying.
event,事件；活動 (n.),The event was a huge success.
foot,腳；英尺 (n.),She has a foot injury.
hide,隱藏；藏 (v.),There's nothing to hide.
international,國際的；跨國 (adj.),She has a lot of international experience.
match,比賽；匹配 (n./v.),This colour doesn't match.
nervous,緊張的；神經的 (adj.),She was nervous before the presentation.
prove,證明；驗證 (v.),She proved everyone wrong.
pity,可惜；憐憫 (n.),It's a pity you missed the event.
raise,提高；養育 (v.),She was raised by her grandmother.
straight,直的；直接 (adj./adv.),Go straight down this road.
smell,氣味；聞起來 (n./v.),The coffee smells amazing.
trade,貿易；交換 (n./v.),She works in international trade.
shut,關閉；關上 (v.),Shut the door quietly.
variety,多樣；品種 (n.),The menu has a great variety.
admit,承認；准許 (v.),He admitted he was wrong.
attend,參加；出席 (v.),Will you attend the conference?
branch,分支；樹枝 (n.),She manages the Taipei branch.
coal,煤炭；煤 (n.),Coal is a fossil fuel.
consist,由…組成；包含 (v.),The team consists of six members.
declare,宣告；聲明 (v.),She declared her decision publicly.
exact,精確的；確切 (adj.),What's the exact time?
farmer,農夫；農民 (n.),Her grandfather was a farmer.
jacket,夾克；外套 (n.),She wore a leather jacket.
instead,替代；而不是 (adv.),Let's meet online instead.
leg,腿；腳 (n.),She broke her leg last winter.
metal,金屬；金屬的 (n./adj.),The sculpture is made of metal.
opposite,對面；相反 (adj./n.),The office is opposite the station.
pound,英鎊；磅；猛打 (n./v.),She earns well in pounds.
roll,捲；滾動 (v./n.),Roll up your sleeves.
speech,演講；說話能力 (n.),She delivered a powerful speech.
score,分數；得分 (n./v.),She scored the highest mark.
toilet,廁所；馬桶 (n.),Where is the nearest toilet?
shoot,拍攝；射擊 (v.),She shoots product photos on Saturdays.
whose,誰的 (pron.),Whose idea was this?
attitude,態度；看法 (n.),Your attitude determines your success.
brave,勇敢的；勇氣 (adj.),It was a brave decision.
contain,包含；容納 (v.),The box contains fragile items.
charge,費用；充電；負責 (n./v.),Who's in charge of this project?
doubt,懷疑；疑問 (n./v.),I have no doubt you'll succeed.
experience,經驗；體驗 (n./v.),She has 10 years of experience.
flat,平的；公寓 (adj./n.),She rents a flat in the city.
guard,守衛；保護 (n./v.),She is on guard all the time.
heavy,重的；沉重 (adj.),The bag is very heavy.
iron,鐵；熨斗 (n./v.),Iron your shirt before the meeting.
medicine,藥物；醫學 (n.),Take your medicine on time.
noise,噪音；聲響 (n.),The noise outside was too loud.
politics,政治；政局 (n.),She avoids talking about politics.
pour,倒；傾瀉 (v.),Pour the coffee slowly.
rush,匆忙；衝 (v./n.),Don't rush — take your time.
suggest,建議；推薦 (v.),I suggest starting over.
smooth,光滑的；順暢 (adj.),The presentation went very smooth.
trouble,麻煩；困難 (n./v.),She never causes trouble.
spread,傳播；擴散 (v./n.),Good news spreads fast.
west,西方；西部 (n./adj.),She moved to the west coast.
average,平均；普通 (n./adj.),The average score was 85.
belong,屬於；歸屬 (v.),This bag belongs to her.
crime,犯罪；罪行 (n.),Prevention is better than crime.
certainly,當然；確定 (adv.),I can certainly help you.
duty,職責；義務 (n.),It's your duty to report this.
either,任一；也 (adj./adv.),Either option works for me.
fail,失敗；不及格 (v.),"Fail fast, learn faster."
health,健康；健全 (n.),Health is your greatest asset.
influence,影響；感化 (n./v.),She has a positive influence on everyone.
leader,領導者；領袖 (n.),A good leader listens first.
measure,測量；措施 (v./n.),"Measure twice, cut once."
offer,提供；出價 (v./n.),She made a generous offer.
pile,堆；疊 (n./v.),There's a pile of work waiting.
regard,關於；尊重 (prep./v./n.),I have great regard for her work.
rough,粗糙的；大約 (adj.),It's been a rough week.
spoil,破壞；寵壞 (v.),Don't let one mistake spoil everything.
series,系列；連續 (n.),She wrote a series of articles.
thin,薄的；細的 (adj.),The ice is too thin to walk on.
spot,地點；發現 (n./v.),She spotted the problem immediately.
vote,投票；表決 (v./n.),Every vote matters.
