Word,Translation/Explanation,Example Sentence
strange,奇怪的 (adj.),It is a strange thing.
street,街道 (pic),The street is wide.
stretch,伸展 (n.),He gave a stretch.
stiff,僵硬的 (adj.),The cloth is stiff.
straight,直的 (adj.),The road is straight.
strong,強壯的 (adj.),He is a strong man.
structure,結構 (n.),The structure is complex.
substance,物質 (n.),What is the substance?
such,這樣的 (op),I have no such thing.
sudden,突然的 (adj.),The attack was sudden.
sugar,糖 (n.),Put sugar in the tea.
suggestion,建議 (n.),Give me a suggestion.
summer,夏天 (n.),The summer is hot.
sun,太陽 (pic),The sun is bright.
support,支持 (n.),Give support to the seat.
surprise,驚訝 (n.),It was a great surprise.
sweet,甜的 (adj.),The cake is sweet.
swim,游泳 (n.),He had a swim.
system,系統 (n.),The system is good.
table,桌子 (pic),The book is on the table.
tail,尾巴 (pic),The dog has a tail.
take,拿 (operator),Take the book with you.
talk,談話 (n.),We had a long talk.
tall,高的 (adj.),The man is tall.
taste,味道 (n.),The taste is sweet.
tax,稅 (n.),He has a tax to pay.
teaching,教學 (n.),His teaching is good.
tendency,傾向 (n.),He has a tendency to go.
test,測試 (n.),Make a test of the machine.
than,比 (op),He is better than I.
that,那個 (op),Give me that book.
the,這/那 (op),The dog is here.
then,然後 (op),He went there then.
theory,理論 (n.),It is a new theory.
there,那裡 (op),He is there now.
thick,厚的 (adj.),The book is thick.
thin,薄的 (adj.),The paper is thin.
thing,事物 (n.),It is a good thing.
this,這個 (op),This is my house.
though,雖然 (op),"Though it is cold, I go."
thought,想法 (n.),He had a thought.
thread,線 (pic),Give me some thread.
throat,喉嚨 (pic),His throat is red.
through,穿過 (op),Go through the door.
thumb,拇指 (pic),His thumb is large.
thunder,雷聲 (n.),I hear the thunder.
ticket,票 (pic),Give me the ticket.
tight,緊的 (adj.),The shoe is tight.
till,直到 (op),Stay till the morning.
time,時間 (n.),It is time to go.
tin,錫 (n.),The box is of tin.
tired,累的 (adj.),I am very tired.
to,到 (op),Go to the town.
toe,腳趾 (pic),He has a pain in his toe.
together,一起 (op),We will go together.
tomorrow,明天 (op),Come again tomorrow.
tongue,舌頭 (pic),Put out your tongue.
tooth,牙齒 (pic),He has a white tooth.
top,頂部 (pic),He is at the top.
touch,接觸 (n.),The touch was soft.
town,城鎮 (pic),This is a small town.
trade,貿易 (n.),The trade was good.
train,火車 (pic),The train is at the station.
transport,運輸 (n.),The transport is slow.
tray,托盤 (pic),Put it on the tray.
tree,樹 (pic),The bird is in the tree.
trick,惡作劇 (n.),It was a good trick.
trouble,麻煩 (n.),He is in trouble.
trousers,褲子 (pic),Put on your trousers.
true,真實的 (adj.),It is a true story.
turn,轉彎 (n.),Make a turn to the right.
twist,扭曲 (n.),Give a twist to the cord.
umbrella,雨傘 (pic),Take your umbrella.
under,在...下面 (op),It is under the table.
unit,單位 (n.),What is the unit?
up,向上 (op),Go up the street.
use,使用 (n.),Make use of the book.
value,價值 (n.),The value is great.
verse,詩 (n.),He writes a verse.
very,非常 (op),He is very good.
vessel,船隻;容器 (n.),The vessel is on the sea.
view,視角;觀點 (n.),The view is beautiful.
violent,暴力的 (adj.),The attack was violent.
voice,聲音 (n.),I hear your voice.
waiting,等待的 (adj.),The man is waiting.
walk,散步 (n.),Take a walk with me.
wall,牆壁 (pic),The wall is high.
war,戰爭 (n.),The war was long.
warm,溫暖的 (adj.),The room is warm.
wash,洗 (n.),Give a wash to the floor.
waste,浪費 (n.),It is a waste of time.
watch,手錶;觀看 (pic),I have a new watch.
water,水 (n.),Give me some water.
wave,波浪 (n.),The wave is high.
wax,蠟 (n.),The candle is of wax.
way,路;方法 (n.),This is the way.
weather,天氣 (n.),The weather is good.
week,星期 (n.),It is a long week.
weight,重量 (n.),The weight is great.
well,好地 (op),He is very well.
west,西方 (op),Go to the west.
wet,濕的 (adj.),The floor is wet.
wheel,輪子 (pic),The wheel is broken.
when,當...時候 (op),When will you go?
where,哪裡 (op),Where is the house?
while,當...時候 (op),He went while it was day.
whip,鞭子 (pic),Give me the whip.
whistle,口哨 (pic),He gave a whistle.
white,白色的 (adj.),The flower is white.
who,誰 (op),Who is that man?
why,為什麼 (op),Why do you go?
wide,寬的 (adj.),The road is wide.
will,將 (operator),I will go now.
wind,風 (n.),The wind is cold.
window,窗戶 (pic),Open the window.
wine,酒 (n.),Give me some wine.
wing,翅膀 (pic),The bird has a wing.
winter,冬天 (n.),The winter is cold.
wire,電線 (pic),The wire is long.
wise,明智的 (adj.),He is a wise man.
with,與...一起 (op),Go with me.
woman,女人 (n.),She is a good woman.
wood,木頭 (n.),The box is of wood.
wool,羊毛 (n.),The cloth is of wool.
word,單字 (n.),Say the word now.
work,工作 (n.),He has much work.
worm,蟲 (pic),The worm is on the grass.
wound,傷口 (n.),He has a wound on his hand.
writing,寫作 (n.),His writing is clear.
wrong,錯誤的 (opp.),That is the wrong answer.
year,年 (n.),It is a long year.
yellow,黃色的 (adj.),The flower is yellow.
yes,是的 (op),"Yes, I will go."
yesterday,昨天 (op),He went there yesterday.
you,你 (op),You are my friend.
young,年輕的 (adj.),He is a young man.
